EventName,EventDescription,EventStartTime,EventEndTime,EventCategoryName,EventLocation
Developer Summit İstanbul,"Türkiye'nin en önemli yazılım konferanslarından Developer Summit İstanbul, 12 Mayıs Cumartesi günü Nişantaşı Üniversitesi Maslak Kampüsü'nde düzenlenecek. 3 farklı salonda 20'nin üzerinde sunumun yapılacağı bu etkinlikte siz de yerinizi alın.
Etkinlik programına bu linkteki resim dosyasından ulaşabilirsiniz.
Etkinliğe katılacak konuşmacılar aşağıda yer almaktadır. 

Adem İlter (Protel)
Berna Gökçe Bayazıtoğlu (Saha Bilgi Teknolojileri)
Bora Kaşmer (Netaş)
Burak Tungut (Boyner)
Emir Karşıyakalı (İstanbul PHP)
Emrah Uslu (PeakUp)
Emre Özer (Enqura)
Emre Toptancı (OBSS)
Engin Polat (Bilgeadam)
Ergi Şener (Ideafield)
Fatih Coşkun (Codevist)
Gökhan Şengün (Netaş)
Hüseyin Mert (Ideafield)
Lemi Orhan Ergin (iyzico)
Melih Sakarya (Saha Bilgi Teknolojileri)
Mustafa Daşgın (Trendyol)
Mustafa El Aliwat (Enqura)
Mustafa Kıraç (iyzico)
Oğuz Bor (Native Technology)
Oğuzhan Soykan (Trendyol)
Selçuk Ermaya (Monofor)
Sinan Erdem (Bidolubaskı)
Şefik İlkin Serengil (Softtech)

Diğer detayları etkinlik adresi http://summit.devnot.com'dan öğrenebilirsiniz.",2018-05-12T09:00:00,2018-05-12T18:00:00,Science & Technology,Turkey
SAVUNMA TEKNOLOJİLERİ GÜNLERİ 2018,"SAVUNMA TEKNOLOJİLERİ GÜNLERİ 2018
İTÜ SÜLEYMAN DEMİREL KÜLTÜR MERKEZİ          
7-8 MAYIS
http://itustg18.com
İTÜ Savunma Teknolojileri Kulübü olarak geleneksel hale getirdiğimiz ve alanında Türkiye'nin en büyük etkinliği olan Savunma Teknolojileri Günleri'nde akademisyenleri, sektörün önde gelen firmalarını ve öğrencileri aynı platformda bir araya getiriyoruz. Bu yıl 3.sünü düzenleyeceğimiz etkinliğimiz daha önce 2016 yılında 800, 2017 yılında 950 katılımcıyı ağırladı.

      STG'18'de SİZİ NELER BEKLİYOR?


2 gün boyunca savunma sanayinin önde gelen firmaları ve kurumları ile tanışabilir,


sizler için programlamış olduğumuz 13 farklı konferansa katılabilir,


sektörün önemli isimlerinin sunumlarını dinleyebilir,


aklınızdaki tüm sorulara cevap bulabilir ve geleceğinizi planlamaya yeniden başlayabilir,


staj ve iş imkanları elde edebilir,


ayrıca sizler için her konferans sonrasında sürpriz hediyeler içeren çekilişlere katılabilirsiniz.




SAVUNMA SANAYİNİN KALBİ 7-8 MAYIS'TA SDKM'DE ATIYOR.
BİZ HAZIRIZ, PEKİ YA SİZ?


SAVTEK NEDİR? 
    Savunma sanayimiz ve üniversiteler arasındaki iş birliğine katkı sağlamayı hedef edinen Savunma Teknolojileri Kulübü(SAVTEK), İstanbul Teknik Üniversitesi öğrencileri tarafından 2008 yılında kurulmuştur.
    2008-2009 akademik yılında İTÜ'de faaliyetlerine başlayan SAVTEK, disiplinler arası bir öğrenci kulübüdür. Bu kulüp, kısa zamanda gelişerek önemli projelere imza atmıştır. Kulüp üyeleri, ülkemizde savunma sanayisi kurum ve şirketlerini ziyaret etmişler ve bu kurum ve şirketleri İTÜ'ye davet ederek üniversite öğrencilerine bilgi ve birikimlerini aktarmalarına büyük destekte bulunmuştur.
    Kulübümüzün başlıca amaçları ;


Öğrencileri savunma teknolojileri konusunda bilgilendirmek.


Öğrencilere Türkiye'nin savunma sanayini tanımak.


Öğrencilere uluslararası savunma sanayini tanıtmak.


Savunma sanayinin faaliyetleri ve ihtiyaçları ile ilgili sempozyumlar, seminerler düzenlemek.


Savunma sanayinin ihtiyaçlarını tartışmak, çözüm sunmak.


Savunma sanayinde çalışmış ya da çalışmakta olan kişiler ile söyleşiler yapmak.


İTÜ'de  savunma sanayini ve teknolojil gelişmeleri takip edecek ve bunlara katkıda bulunacak bilinçli bir öğrenci topluluğu oluşturmak.


Ulusal olarak düzenlenen savunma sanayi toplantı ve seminerlere katılım sağlamak.


Savunma sanayi kuruluşları ile İTÜ öğrencileri arasındaki ilişkileri güçlendirip ortak projeler yaratmak.


Ülkemizi uluslararası alandaki yarışmalarda başarıyla temsil etmek.



SAVUNMA TEKNOLOJİLERİ GÜNLERİ (STG) NEDİR?
      İTÜ ile Türk Savunma Sanayisi arasındaki iş birliğinin mevcut durumunun ve olası iş birliği olanaklarının değerlendirildiği etkinliğimiz ile


Türk Savunma Sanayisinde AR-GE'ye yapılan yatırımlar, sağlanan kaynaklar, geleceğin politikaları konusunda İTÜ'deki akademisyenlerin ve öğrencilerin farkındalığının arttırılması,


İTÜ'nün akademik gücü, laboratuvar kabiliyetleri ve sahip olduğu nitelikte öğrenci profili konusunda Türk Savunma Sanayisi kurum ve kuruluşlarınfarkındalığının arttırılması,


İTÜ ve Türk Savunma Sanayisi arasındaki mevcut iş birliğini geliştirmeye yönelik olarak atılan somut adımların arttırılması hedeflenmektedir.


     


",2018-05-07T09:30:00,2018-05-08T17:30:00,School Activities,Turkey
Cyprus Career Expo,"Το Cyprus Career Expo αποτελεί τη μεγαλύτερη έκθεση με θέμα εργοδότηση στην Κύπρο. Θα πραγματοποιηθεί στους χώρους της Διεθνούς Έκθεσης Κύπρου, στις 5 και 6 Μαΐου και έχει σαν σκοπό να μαζέψει κάτω από την ίδια στέγη, για ένα διήμερο, κορυφαίους εργοδότες και υποψήφιους εργαζομένους. Παράλληλα, στο χώρο της έκθεσης θα τρέχουν σεμινάρια και workshops με στόχο να ενημερώσουν τους συμμετέχοντες για τις τελευταίες εξελίξεις του τομέα τους.Αν είσαι νέος που ψάχνει δουλειά ή θέλει να κάνει στροφή στην καριέρα του, τότε το Cyprus Career Expo σε ενδιαφέρει!Αν πάλι είσαι εργοδότης που ψάχνει νέο δυναμικό προσωπικό για την εταιρεία σου τότε, εσένα σε ενδιαφέρει ακόμη περισσότερο!Για περισσότερες πληροφορίες https://www.cypruscareerexpo.comThe Cyprus Career Expo is the 1st Annual Career Expo of Cyprus. It is the largest career and employment event ever organised in Cyprus and will take place at the Cyprus State Fair Grounds in Nicosia on May 5-6 2018. For more info visit: https://www.cypruscareerexpo.com",2018-05-05T10:00:00,2018-05-06T21:00:00,Genel,Turkey
e-Safe Boğaziçi Kişisel Verilerin Korunmasında Yerli Çözümler Zirvesi,"BÜSİBER (Boğaziçi Üniversitesi Yönetim Bilişim Sistemleri Siber Güvenlik Merkezi) ve E-SAFE ülkemizin gündeminde olan Kişisel Verilerin Korunması Kanununa odaklanıyor ve bu çerçevede Kişisel Verileri Koruma Kurulu teşrifleri yanı sıra  yerli üreticileri, akademiyi ve kamuyu bir araya getiriyor. 
İstanbul Kalkınma Ajansı desteğiyle Bilgi Sistemleri Araştırma Merkezi bünyesinde kurulmuş olan BÜSİBER akademik bakış açısıyla siber güvenlik ve kişisel verilerin korunması konusunda bir farkındalık oluşturmak ve bu alanda ihtiyaç duyulan insan kaynağını yetiştirmeyi hedeflemektedir.
Siber dünya var oldukça siber güvenlikte var olacaktır. Sentez Medya olarak siber güvenlik etkinliklerinde edindiğimiz uluslararası tecrübeyi ülkemize taşıyoruz. Bu bağlamda e-Safe, yerel sorunlara odaklanmış bir Siber Güvenlik Zirvesi’dir.
PROGRAM İÇİN TIKLAYINIZ:

 



",2018-05-08T08:30:00,2018-05-08T17:30:00,Science & Technology,Turkey
Israel's Annual Programmatic Conference,"What an experience we had in Video Trends for 2018 conference !!
More than 700 attendees, 30+ speakers, 350+ companies, the Startup Pitch Competition - that was a great run!
More pictures on our Facebook Page.
See this video recap of Video Trends for 2018 event last month.
I'm happy to announce Israel's Annual Programmatic Conference that will take place on May 15th in Tel Aviv.
50 early bird tickets are available at a special price - join today!
We are planning to discuss various topics including Blockchain in Adtech, women leaders panel, programmatic video and more.
Various groups from abroad will come to the conference. If you also want to assist in organizing a group, contact us. We are looking forward to seeing you at the conference!
The Conference Itinerary:
 
May 14th dmexco breakfast – register here  https://www.eventbrite.com/e/dmexco-startup-breakfast-in-israel-tickets-44321802705
May 14thIponweb breakfast 9:30-12:00 Register here
May 14th Impact Radius networking event 14:30-17:30  https://www.eventbrite.com/e/impact-radius-in-israel-tickets-45019945870
May 14th VIP executive dinner event with the speakers – 18:00-21:00
May 15th main conference 8:00 – 16:00 Shprintsak 2 Tel Aviv
May 16th Tour to Jerusalem, sightseeing, and lunch at OurCrowd  - meet the local eco-system – see more info below.
May 17th IAB tech lab seminar for Israel's companies. 

Check out the first speakers at the conference:
 
Emily ffrench Blake - Global Head of Partner and New Market Sales at SpotifyAlex Cheng - VP Baidu CTO Baidu Search.Julia Smith - Director of Communications Impact RadiusAlexandra Salomon - Global Biz Dev & Marketing Executive IAB Tech Lab Brian Allen – CEO AdsymbiotRichard Kramer - Managing Director at Arete ResearchJon Medved – CEO OurCrowdDenis Borisenko - Head of Video advertising department at MGIDChen Shalit - Head of Business Development at AniViewLiam Galin - President and CEO at MatomyJoachim Vranken - dmexco startups villageAmnon Siev - CEO at GeoEdgeJijesh Nambiar - Co-founder and VP of MashColumnMelanie Mohr – CEO YeayDvir Doron – CMO CedatoArtem Rodichev - Global Sales and Consulting Director at IPONWEBYael Rozencwajg - CEO at Blockchain Israel

Tickets are NON-refundable 
In the event of sponsored or sponsor events, we provide company names and sometimes contact information to the supplier.
By joining the event you agree for the use of your company logo in the event publishments.
By joining the event you agree for the use of your emails for newsletter purposes. 
By joining the event you agree for the use of your company logo.",2018-05-15T07:30:00,2018-05-15T16:00:00,Science & Technology,Turkey
"INVITATION: Governor of the State of Indiana, Eric Holcomb - May 8 7pm","Tel Aviv International SalonTop Decision Makers Speaking With TLV Young Professionals
with: WeWork, Sanhedrin Forum & Ministry of Foreign Affairs:

The Governor of the State of Indiana
Eric Holcomb

What: Talk on US/Israel relations, Trump/Pence, Hoosiers & more
Beer reception, in-English talk followed by Q&A
Date: Tuesday May 8th 2018, 7pm - 9:30pm
Cost: FREE, register today as tickets are limited
Venue: WeWork, 144 Menachem Begin, Tel Aviv
Who: Exclusively for 20s & 30s young professionals
Media requests email: Press@TLVSalon.com

About our Salon Speaker: Eric Holcomb
After current Vice President Mike Pence withdrew from the Indiana gubernatorial race to become Donald Trump's running mate in the 2016 presidential election, Eric Holcomb ended his candidacy for lieutenant governor in order to seek the gubernatorial nomination. The Indiana State Republican Committee selected Holcomb to replace Pence as their gubernatorial nominee and has been serving as the 51st Governor of Indiana since January 2017. Governor Holcomb is a Republican, and formerly served in the United States Navy as an intelligence officer.

 
  
About the Organization: Tel Aviv International Salon
The Tel Aviv International Salon is the largest speakers forum in Israel. Our nonprofit organization was established to provide a challenging, thought-provoking and intellectual discussion non-partisan platform for the young adult Tel Aviv International and Sabra community. There are an increasing number of motivated young professionals who are choosing to make Tel Aviv their home. The Salon provides this community a unique forum to learn about, debate and discuss Israeli, Jewish and world politics, history, media, economics, social, cultural and environmental issues with a diverse range of engaging international decision makers and the leading influencers on our society.
LIKE: www.facebook.com/TelAvivInternationalSalon
EMAIL: Info@TLVSalon.com
WEB: www.TLVSalon.com
",2018-05-08T19:00:00,2018-05-08T21:30:00,Business & Professional,Turkey
"22 Israeli Ag-Tech Investors, 1 place - Grow.il event","About
As part of Israel’s AgriFood week, Grow.il invites you to a community event which will introduce a wide variety of Israeli Ag-tech investors (VCs which are focused on Ag-Tech along with cross-sector investors that share interest in this field).
At the event we will launch the Israeli Ag-Tech investors map, portraying the local landscape of investors relevant for this field.
In addition, investors will have the opportunity to briefly present their fund and share their insights and unique point of view with the community. A perfect opportunity to mix and mingle, and meet Israel’s Ag-Tech investors in person.
  *The event will be held in English*
Agenda
18: 00 - 18:45    Gathering & Networking
18:45 - 19:00     Greeting and presenting Israeli Ag-Tech investor's map
19:00 - 20:00     Investors pitching and Q&A (in 2 rooms simultaneously)
                           Room 1 (Ag-tech focused investors):
                                                                                     AgriNation
                                                                COPIA Agro and Food Technologies Fund
                                                                                Finistere Ventures
                                                                             GreenSoil Investments
                                                                                            ICV
                                                                                            MGI
                                                                                Natura Investments
                                                                                           RDC
                                                                                Rimonim Agro Fund I
                                                                                  Trendlines Agtech
                                                                                 Yakhin/TechForGood
                           Room 2 (cross-sector investors -with interest in Ag-Tech):
                                                                                                                                                                                                                                                                         Hutchison Kinrot
                                                                                           iAngels
                                                                             Impact First Investments
                                                                Mashtela - Kibbutz movement startup fund 
                                                                                  Mindset Ventures
                                                                                        OurCrowd
                                                                                    Pardes Capital
                                                                              Terra Venture Partners
                                                                                    Viola Ventures
20:00-21:00     Networking 
Parking lot:
 4 Ahuzat Bayit St, Tel Aviv-Yafo",2018-05-09T18:00:00,2018-05-09T21:00:00,Other,Turkey
Bilkent University 12th Annual Workshop on Supply Chain and Logistics,"We invite researchers and practitioners working in the areas of supply chain management and logistics to the 12th Annual Workshop on Supply Chain and Logistics, which will be held at Bilkent University on Friday, June 1, 2018.
Workshop Program:
08:30-09:00: Registration and coffee/tea
09:00-09:10: Opening remarks
09:10-10:10: “Multistage stochastic lot sizing problem with nervousness considerations”Speaker: Esra Koca, Sabancı UniversityDiscussant: Özlem Çavuş, Bilkent University
10:10-10:30: Coffee break
10:30-11:30: “Providing development aid for health to the moderately well-off: a bi-level program”Speaker: Alec Morton, University of StrathclydeDiscussant: Mehmet Rüştü Taner, TED University
11:30-11:50: Coffee break
11:50-12:50: Editors’ panel- Abdullah Daşcı – Area Editor, Computers & OR- Francisco Saldanha da Gama – Editor in Chief, Computers & OR- Alec Morton – Associate Editor, IISE Transactions, OR Spectrum- Stefan Nickel – Editor in Chief, OR for Health Care- Hande Yaman – Associate Editor, INFORMS Journal on Computing, RAIRO
12:50-13:40: Lunch break
13:40-14:40: “The day after optimal: operations research and modern logistics”Speaker: Stefan Nickel, Karlsruhe Institute of TechnologyDiscussant: Abdullah Daşcı, Sabancı University
14:40-15:00: Coffee break
15:00-16:00: “Service location for unit demand customers: dealing with stochasticity”Speaker: Francisco Saldanha da Gama, University of LisbonDiscussant: Sibel Salman, Koç University
16:00-16:20: Coffee break
16:20-16:50: Practice session “Inventory placement under storage capacity constraints and a dynamic fulfillment policy”Speaker: Onur Özkök, Amazon
17:00-19:00: Closing cocktail (Rector’s Residence - Building 49)
The workshop will be held at Mithat Çoruh Auditorium (EB Building). There will be no registration fee for the workshop.
If you have questions please send an e-mail to one of the conference organizers.
Çağın Ararat cararat@bilkent.edu.tr
Bahar Yetiş Kara bkara@bilkent.edu.tr
Özlem Karsu ozlemkarsu@bilkent.edu.tr
Ayşe Selin Kocaman selin.kocaman@bilkent.edu.tr
Firdevs Ulus firdevs@bilkent.edu.tr",2018-06-01T08:50:00,2018-06-01T19:00:00,Business & Professional,Turkey
"ACC Annual Event, Habima Tel Aviv",None,2018-06-11T07:30:00,2018-06-11T17:00:00,Genel,Turkey
Symposium on Centring LGBT People in Jamaica's Future,"The 6th Annual Larry Chang Human Rights Symposium will be held under the theme: Centring LGBT People in Jamaica’s Future as we bring to the forefront the economic, social and cultural rights of LGBT Jamaicans and utilize this as the driving force of our social and economic justice efforts going forward. 
This year's symposium is being held because there is a clear need to more clearly centre the needs and desires of LGBT Jamaicans within processes of decision-making, policy development, policy implementation and governance overall.  This can only be achieved by strident advocacy which re-presents LGBT Jamaicans in a way that is intersectional and beyond dominant caricatures and stereotypes within society.

Pofessor Verene Shepherd, member of the UN Committee on the Elimination of Racial Discrimination (CERD) will deliver the keynote address along with an esteemed panel comprised of Dr. Ajamu Nangwaya, Stacy-Ann Jarrett and Dr. Rohan Lewis.",2018-05-17T16:00:00,2018-05-17T19:00:00,Charity & Causes,Turkey
